Date,Oceania,Australia,New Zealand
2020-01-05,-3.8592873142971986,-5.629917576232278,0.5599140679483885
2020-01-12,-0.0876290464110573,-2.8015923518602013,7.26969750307356
2020-01-19,-12.792254852110036,-15.666733603957518,-5.312232249487088
2020-01-26,-11.58053643701556,-13.287488130452335,-7.189033342724514
2020-02-02,-15.173653564467902,-15.229461662046633,-15.258750060512174
2020-02-09,-22.671214298493165,-23.484491373621193,-20.539945431046863
2020-02-16,-25.888452456103433,-26.548983305136144,-24.526052223679503
2020-02-23,-37.949289654975274,-38.38503819638532,-36.982164090368606
2020-03-01,-37.238491224297164,-37.78651325777781,-35.85649706646148
2020-03-08,-56.946633902077146,-57.85419425188878,-53.34054706962933
2020-03-15,-63.93471579467976,-65.2311639148084,-58.30458092255427
2020-03-22,-75.53760825143524,-75.51324034768547,-74.49959094627762
2020-03-29,-85.77278033651416,-84.23754639578043,-90.54569329057347
2020-04-05,-88.22039698836413,-87.44215959774819,-90.84894961386834
2020-04-12,-76.17763068413656,-75.6279932025336,-78.18129643210152
2020-04-19,-61.72344973035712,-65.94132847502371,-46.678780537048254
2020-04-26,-72.81515288607393,-74.75402661064425,-66.44282724802449
2020-05-03,-57.49144228625388,-60.17861787912946,-48.36359256917472
2020-05-10,-49.68239152698376,-54.70931275027963,-30.881596854680176
2020-05-17,-29.675099206349202,-34.447364804507664,-9.91156400134643
2020-05-24,-25.045793516259028,-26.47158952743779,-16.728779702453714
2020-05-31,3.5958090740062154,0.17324282279734127,21.07458373017176
2020-06-07,-22.798344571230984,-25.52623649433946,-11.045988472482307
2020-06-14,-20.913416531625465,-19.398837662447686,-22.2681666159927
2020-06-21,-2.437980911395909,-6.3868882581661275,16.447766614211353
2020-06-28,-26.89858946850047,-27.333761321710615,-23.48234662370788
2020-07-05,7.485404126089031,3.3431568273283268,23.975566301857977
2020-07-12,7.831024301612537,2.2581466395112018,29.483009633553266
2020-07-19,-35.81875604554407,-39.28142061857249,-22.873725320026036
2020-07-26,-62.37041418174052,-64.82154969620875,-53.278709189461736
2020-08-02,-50.081017642159466,-52.270258382261794,-41.15720020301758
2020-08-09,-50.624308016676466,-47.28120763411327,-60.63771952631952
2020-08-16,-38.13210808350627,-34.1408078574403,-49.6181906614786
2020-08-23,-36.49342710398373,-35.29964604855274,-38.114670475413185
2020-08-30,-33.85448118826143,-32.636602419444344,-35.2012819890254
2020-09-06,-27.406528053109586,-25.138266241469086,-32.38380809595202
2020-09-13,-16.158386192568173,-15.71122141601555,-15.339732255620106
2020-09-20,-0.4940932357375001,-2.2879286959891494,7.107231920199501
2020-09-27,-34.029791296911334,-32.56844933984504,-36.234295893493346
2020-10-04,-3.9369805693941955,-4.248090369471137,-2.031437796054957
2020-10-11,-5.3997886988726735,-5.053745421464653,-5.031926707384786
2020-10-18,24.860881055628965,30.037951950120295,11.603150406504065
2020-10-25,-8.529561671763506,-5.504209410507319,-14.581636807817588
2020-11-01,9.753619032181643,16.702392626856085,-6.037544393708777
2020-11-08,6.1281811217976,18.678976602947973,-22.102213466218565
2020-11-15,-6.5206570433051265,2.2825279527673,-25.247173350910106
2020-11-22,-1.9603642902118104,7.431500986602034,-24.430909783022457
2020-12-13,-10.413570968434614,-7.753149569006347,-14.441747572815533
2020-12-20,-16.539085147152754,-11.663201663201663,-25.178279601842224
2020-12-27,-23.086446454807845,-19.244466530012218,-30.044829995342337
2021-01-03,-16.642241717435844,-13.804856811174226,-20.97343826777893
2021-01-10,-8.3623780411859,-3.8986988074425377,-16.81528520472551
2021-01-17,-12.437615587200401,-7.0651292803926475,-23.882809171270473
2021-01-24,-9.353813325251,-1.3984808719439068,-28.411731864109935
2021-01-31,-13.408064691854202,-5.022101241165747,-33.0251246550806
2021-02-07,-22.043895035117185,-15.430061908802365,-37.434780527499875
2021-02-14,-24.29742114984452,-15.670986688798799,-46.29784189817575
2021-02-21,-13.84558213989652,-6.0073908452891125,-33.28180737217598
2021-02-28,-5.266616485656595,4.3733022576383025,-28.311051264787917
2021-03-07,6.663807492581602,12.671547628319962,-6.811947960441883
2021-03-14,-14.689534979569247,-11.172205579845604,-20.88752056903233
2021-03-21,-16.85864065388732,-15.146149181322013,-17.763839650940824
2021-03-28,-31.23820254737857,-28.0632936120336,-37.08492209792682
2021-04-04,-13.720988115238628,-12.506890733842274,-12.14289571744883
2021-04-11,3.305828837406114,6.895308718265617,-0.32841246054267764
2021-04-18,-8.96120256479214,-7.212173040099645,-8.409045023218251
2021-04-25,-18.756819330973734,-17.264530812324928,-19.558359621451103
2021-05-02,-13.88775951840728,-13.266279372236193,-13.684400686478188
2021-05-09,-19.486900270939472,-18.99350233523169,-17.486768486314837
2021-05-16,-23.36766395154553,-23.45822167250739,-19.41919887389455
2021-05-23,-30.69438493874535,-32.34578908973008,-22.42926567484571
2021-05-30,-26.78704721577569,-28.45424975251025,-18.765805116752603
2021-06-06,-43.532265733056704,-44.7182643881021,-39.20815194922056
2021-06-13,-28.75957931706813,-30.86633118148393,-19.516570386135605
2021-06-20,-30.538620763418333,-31.58827293160304,-24.636847839244645
2021-06-27,-40.942933858618545,-42.892170133114696,-33.677003624647604
2021-07-04,-35.46661514589836,-39.3232880185062,-20.754503549107774
2021-07-11,-40.4600759222608,-44.561269517990496,-24.244958646965895
2021-07-18,-48.363187152563306,-51.95074698868988,-35.46864829681059
2021-07-25,-51.01505468206636,-52.633819687982566,-45.14811546703643
2021-08-01,-57.78905126069509,-59.11335630360749,-52.454667097310015
2021-08-08,-55.91331203746378,-55.489916479934806,-56.257829673576474
2021-08-15,-56.062765156235606,-50.86515127582889,-71.90175097276264
2021-08-22,-55.83219547867022,-50.12013127278515,-73.55386655784534
2021-08-29,-56.0956016376822,-50.356997521364356,-73.42057980867284
2021-09-05,-41.328776912083356,-37.30338463434549,-52.56371814092954
2021-09-12,-38.50667099986652,-34.21792360051728,-50.34352109118464
2021-09-19,-38.524942537300596,-34.41736097655493,-49.17034337233838
2021-09-26,-30.517628176967097,-23.33834852641827,-49.041346334145885
2021-10-03,-28.21252297342596,-19.61972930149696,-51.75688732825867
2021-10-10,-19.718342563245216,-7.589795152937046,-52.787803072367204
2021-10-17,-8.943936771447891,6.732235437633424,-51.760670731707314
2021-10-24,-12.176350662589194,4.508142865903337,-57.09741449511401
2021-10-31,-17.28719093278139,-3.751659738433901,-52.11519412432655
2021-11-07,-14.566215127965066,1.534341138637671,-51.836829296558115
2021-11-14,-11.396660234424541,-2.8507481405018473,-30.84469908228971
2021-11-21,-21.82430721894413,-17.363294800291925,-32.29031848750159
2021-12-12,-11.923555937298689,-6.733683811688927,-22.905686546463244
2021-12-19,-19.55878740234855,-13.538461538461538,-32.97429802406774
2021-12-26,-24.097760342474437,-19.273453837712488,-35.53795994410805
2022-01-02,-13.396071768802612,-7.947256691030001,-26.555975945255472
2022-01-09,3.0582950358411383,8.092848895954232,-9.128750199902848
2022-01-16,1.4079400438591916,10.441448498180048,-23.276054985005672
2022-01-23,-15.547196246945042,-6.213290623171562,-41.49164209500575
2022-01-30,0.08473858147614609,12.161093491163665,-33.52374497748947
2022-02-06,0.7040749782140734,12.97806479997486,-34.0864487099708
2022-02-13,-28.98400785579014,-18.950106936508444,-57.67974245856683
2022-02-20,-16.909355972901125,-6.04543196074778,-48.40190249702735
2022-02-27,-15.338662078688603,-5.66420194824912,-42.4232951813023
2022-03-06,-16.867002040059347,-10.315445128125242,-36.37987870857344
2022-03-13,-14.250892005511004,-10.06781225313446,-26.569881628536546
2022-03-20,-12.278631896467841,-8.671113806347282,-23.002454322334334
2022-03-27,-17.20206531650569,-13.965227583512405,-25.59783843842327
2022-04-03,-10.787754340115736,-9.069040976897249,-15.574877139925475
2022-04-10,-9.554789862628645,-6.832483650033472,-15.566112935624782
2022-04-17,-8.01922178657872,-7.888866167202692,-5.5387307355811295
2022-04-24,-10.383346195811267,-9.32685574229692,-12.231002280038728
2022-05-01,-11.67914803205372,-11.309286395560566,-12.028422605606238
2022-05-08,-11.577152931720661,-11.723973053048608,-9.221230908815969
2022-05-15,-8.98796470342523,-9.845908060193773,-4.201474953333945
2022-05-22,-12.730907984526448,-13.025857177595851,-9.946036194508213
2022-05-29,-2.6722581870987883,-2.5747772592278317,-1.2873986009392755
2022-06-05,-23.91673150069156,-23.190994791442467,-25.68155840365768
2022-06-12,-6.287001827091309,-6.7825615479760755,-2.4749163879598663
2022-06-19,-8.348904953348056,-8.016012337374699,-7.571722551749183
2022-06-26,-15.462497215284863,-16.628895403250134,-10.489998657537924
2022-07-03,-14.127960683213688,-15.508445035966664,-7.72319787336331
2022-07-10,-8.174296745725316,-8.620162932790224,-4.240621999194623
2022-07-17,-11.840525831225891,-13.205351057883007,-5.6194402256454765
2022-07-24,-19.473606387697767,-19.427486975220447,-18.64868271776125
2022-07-31,-22.451730143105927,-22.089450779412058,-22.913302265491627
2022-08-07,-17.760331410348098,-17.077008450348057,-19.61613917318647
2022-08-14,-13.597672314302589,-13.143837681825362,-14.299610894941633
2022-08-21,-9.090078097773615,-9.010224421891936,-8.579881656804734
2022-08-28,-10.721943057856276,-9.937479190558989,-11.671441752051669
2022-09-04,-5.620418606795445,-4.7996487498266855,-7.75112443778111
2022-09-11,2.0665881274192897,2.1117108187428855,3.0285425612528414
2022-09-18,-6.3733441858065705,-6.876961829102887,-4.088336850182237
2022-09-25,-8.1507254526391,-9.028956705742262,-5.095630976936059
2022-10-02,-4.845514546946702,-5.279960900856871,-2.8067777437371855
2022-10-09,-7.403085925255129,-7.680767358534231,-6.362206181750879
2022-10-16,-3.1949278194462543,-3.454644031039274,-1.0721544715447153
2022-10-23,-1.676223241590214,-3.740724842092353,5.42803338762215
2022-10-30,14.082118676824479,13.42196842808668,16.94812882027494
2022-11-06,-5.555300942142376,-1.5814936014108019,-14.180090392861281
2022-11-13,0.9743824024765267,2.6278977782494186,-2.048369923439639
2022-11-20,-9.638241384458595,-9.590312378927262,-9.285623651820835
2022-12-11,7.041442989048743,7.947333522781093,5.991678224687933
2022-12-18,6.882523460914852,11.276507276507276,-3.6213044124201454
2022-12-25,-5.695725781791875,-3.673105990020084,-10.459361900326037
2023-01-01,13.061512770600967,13.695141776990894,12.44012833637253
2023-01-08,19.47104124399286,19.637717542435336,18.07540613304165
2023-01-15,9.066807605112075,8.966504654700492,8.63093021560208
2023-01-22,8.37770652056974,6.767130223821863,11.958391978259698
2023-01-29,4.966891425666105,6.493020003496241,-0.4961998354068839
2023-02-05,-1.6632328583712785,-1.5485057037805223,-2.9773586711981235
2023-02-12,-0.7329732762853336,-0.5282982730551921,-2.150947895552641
2023-02-19,6.575193665494669,5.36534997826222,8.967895362663496
2023-02-26,-0.5597572194941276,-0.6868932238024505,-1.0555929595075504
2023-03-05,-4.215156713649852,-6.54178674351585,3.6060293414529805
2023-03-12,-3.575676216719068,-6.6083705505541515,7.118212219332236
2023-03-19,-4.600685997859298,-6.944006468566808,3.0624488682847013
2023-03-26,-12.122408916405792,-13.2697792537605,-8.590692154238528
2023-04-02,-13.74152199614212,-14.809648697860114,-11.905276232651078
2023-04-09,14.472351936648986,15.291209640043258,12.562573733380097
2023-04-16,3.17131169584849,0.5930360097414066,12.268658725351639
2023-04-23,-6.575830960427921,-8.371848739495798,-1.6709872880032481
2023-04-30,-2.4578016184243316,-4.116881990808983,1.4120976725980792
2023-05-07,-9.783637330014649,-10.84708715067581,-7.222138212611523
2023-05-14,-6.1618890977443606,-7.184944684944685,-3.3997368340524496
2023-05-21,-8.664443740724872,-11.219907595039311,-0.2742911660355982
2023-05-28,3.6982750430899936,-0.8158322726629896,19.72806988735262
2023-06-04,-19.533951417704014,-20.349245978792705,-18.745592062063764
2023-06-11,-3.475347179629546,-6.199698402209458,5.220431742170872
2023-06-18,-0.8682357826390593,-3.759454005545256,7.750272364120566
2023-06-25,-7.152907242604383,-7.892518195951642,-5.662505034232783
2023-07-02,-1.1036714585006249,-2.406756028773331,2.9241254489409236
2023-07-09,2.0933778916972194,0.4650373387644263,7.678964160703776
2023-07-16,-9.038306898038622,-11.015307333583477,-2.6225862443046215
2023-07-23,-12.821945115306049,-14.31210402505376,-8.675154418252868
2023-07-30,-16.92890134019838,-17.732873927850235,-14.757993817191897
