Date,Asia,India,Japan,Thailand,Vietnam
2020-01-05,6.5935094295191705,19.16216350716428,1.1334605616523659,13.997697724580629,33.418717176121994
2020-01-12,5.575617165229962,15.445756532461685,-2.654032448477198,9.25042038665226,27.040610660059382
2020-01-19,-9.460292870688887,8.608304038476925,-18.39011541363638,-12.54153007957433,2.636619541294067
2020-01-26,-14.778980954395271,5.3611231749243,-21.34252615099232,-17.748971226076144,-14.204863835411377
2020-02-02,-16.83518262627096,3.6390408077408494,-26.589000878882512,-20.50795658130467,-18.215841462666422
2020-02-09,-31.259339884821095,4.67928211245459,-45.16835959369751,-35.52604605607817,-40.35002900792883
2020-02-16,-33.784714456227846,12.365013851981683,-51.76389713464362,-28.576662839834878,-40.46646956684969
2020-02-23,-47.13416857678683,-8.362252322847867,-62.81450582377393,-45.386478749174195,-53.723049566570346
2020-03-01,-43.951716426302625,-22.992489890236858,-72.8862894818786,-44.055266301530416,-54.913073120845404
2020-03-08,-64.19825734617277,-62.842905848413324,-77.86981391644342,-66.395982718451,-75.44784453875363
2020-03-15,-76.84218110004302,-80.20697876029476,-79.09326862531292,-77.19107896323086,-85.5371714530454
2020-03-22,-83.74619721168442,-88.641871246444,-79.91793228596184,-89.68991512967617,-89.12629476520043
2020-03-29,-87.12842526546815,-93.22332005586881,-84.53229076165653,-89.23191717576832,-90.5596168389211
2020-04-05,-87.94090712815068,-95.41658281344336,-85.7223246944071,-91.6120640997325,-94.98962224989623
2020-04-12,-79.49356092687906,-80.43101691461177,-82.43206104402088,-81.79301252471984,-81.76885752095279
2020-04-19,-66.24199179801111,-64.02480379808159,-80.61108546674714,-71.1994370435078,-63.536266655241846
2020-04-26,-76.89370494226822,-80.04523081016363,-85.33276497952073,-80.59270226382654,-70.51052281222798
2020-05-03,-68.62371692727564,-71.5238632093198,-85.38665230465419,-68.73699995162774,-58.388448998602705
2020-05-10,-70.28349677888016,-71.52202560240963,-86.26992070213258,-73.90164258856126,-61.888622134350136
2020-05-17,-67.37935639622981,-79.47181035648295,-81.83519151370827,-69.35963050805142,-52.77854703221637
2020-05-24,-66.25630872532527,-80.05570802441322,-78.66850163426801,-66.43156690812047,-52.35012665353223
2020-05-31,-53.439141332723175,-74.43760984182776,-70.83727232621163,-47.75637793687607,-46.29187142148686
2020-06-07,-59.02760529397154,-76.2999185004075,-73.88946735000202,-59.908174468509834,-53.41376964662919
2020-06-14,-61.57857069829261,-88.26032540675844,-73.05962639159695,-74.76008142690965,-65.16917211800892
2020-06-21,-39.54385622191835,-69.54881545193903,-61.29987331501857,-55.681896650937965,-43.050834363411624
2020-06-28,-51.16140362503728,-82.29223495180942,-64.98715615969175,-63.688772673927815,-60.54086623662012
2020-07-05,-3.6342261776211147,-36.47558796542232,-36.20237297029414,-29.58756598733884,6.44556652130671
2020-07-12,0.03994428076976887,-42.007553593276235,-32.87629633003842,-15.230102497076425,16.76322260659359
